input_text,output_text
"question: will they fit 2013 f350 dually context: It's all custom mounting, where there's a will there's a way, don't see why not, figure 15minutes per mud flap, there isn't any hardware included just the stamped sheet metal pieces","It's all custom mounting, where there's a will there's a way, don't see why not, figure 15minutes per mud flap, there isn't any hardware included just the stamped sheet metal pieces"
"question: will they fit 2013 f350 dually context: You will need to drill another hole in Mud flap & bed frame for added stability.  the added bolt & nut makes it a tighter fit, you only get two existing holes on the bed frame with plastic mud flaps when you bought the truck.  These Dee Zee flaps are much heavier than the plastic/rubber flaps originally provided on truck.","You will need to drill another hole in Mud flap & bed frame for added stability.  the added bolt & nut makes it a tighter fit, you only get two existing holes on the bed frame with plastic mud flaps when you bought the truck.  These Dee Zee flaps are much heavier than the plastic/rubber flaps originally provided on truck."
"question: will they fit 2013 f350 dually context: It's been a while since I installed them, but I don't think any installation hardware is included.","It's been a while since I installed them, but I don't think any installation hardware is included."
question: will they fit 2013 f350 dually context: 1 pair rear flaps and mounting hardware.,1 pair rear flaps and mounting hardware.
question: will they fit 2013 f350 dually context: I didn't buy these for myself I bought them for our son-in-law for a Christmas gift but I think they came with the hardware.,I didn't buy these for myself I bought them for our son-in-law for a Christmas gift but I think they came with the hardware.
question: will they fit 2013 f350 dually context: no,no
"question: will they fit 2013 f350 dually context: Not sure, maybe measuring width of wheels and width of flaps.  Sorry I couldn't be more help.","Not sure, maybe measuring width of wheels and width of flaps.  Sorry I couldn't be more help."
"question: will they fit 2013 f350 dually context: They will fit the front, but will be to skinny to cover both rear wheels.","They will fit the front, but will be to skinny to cover both rear wheels."
"question: will they fit 2014 mazda 3 sport? context: Unfortunately, they kept sending the wrong size to me so I never got to use them so I can't help you. Sorry!","Unfortunately, they kept sending the wrong size to me so I never got to use them so I can't help you. Sorry!"
question: will they fit 2014 mazda 3 sport? context: At highway speed yes but around town it is not bad,At highway speed yes but around town it is not bad
"question: will they fit 2014 mazda 3 sport? context: You have to be sure the tape on the visor seals all the way down the window. No space left open, look under the visor and be sure there is no opening all the way down. If you see a opening tape it immediately.","You have to be sure the tape on the visor seals all the way down the window. No space left open, look under the visor and be sure there is no opening all the way down. If you see a opening tape it immediately."
question: will they fit 2014 mazda 3 sport? context: VERY dark gray...almost black.,VERY dark gray...almost black.
question: will they fit 2014 mazda 3 sport? context: They sure appear to be dark grey to me...fit nice too!!,They sure appear to be dark grey to me...fit nice too!!
question: will they fit 2014 mazda 3 sport? context: More towards black than grey,More towards black than grey
question: will they fit 2014 mazda 3 sport? context: No these are for a truck,No these are for a truck
question: will they fit 2014 mazda 3 sport? context: I don't know the one's that you sent me where the rong one's i sent them back and canceled the order.,I don't know the one's that you sent me where the rong one's i sent them back and canceled the order.
question: will they fit 2014 mazda 3 sport? context: No this was for a hyundai,No this was for a hyundai
